DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
ARROYO CULEBRO,-1,065-027,2003-01-01,['12'],U,T,Paseo,435780.0,4460288.0,[]
ALONSO DE MENDOZA,-1,065-022,2003-01-01,['12'],U,T,Calle,437507.0,4461613.0,[]
JUAN DE LA CIERVA,-1,065-012,2003-01-01,['12'],U,T,Avda,438740.0,4462823.0,[]
LOS ESPARTALES,-1,065-003,2003-01-01,['12'],U,T,Avda,439095.0,4464199.0,[]
ALTO DEL ARENAL,135,079-13-346,1993-07-01,['1'],U,T,Calle,445348.0,4471427.0,[]
EL CARRASCAL,-1,074-024,2003-01-01,['12'],U,T,Avda,437239.0,4465592.0,[]
JULIAN BESTEIRO,-1,074-017,2003-01-01,['12'],U,T,Avda,436177.0,4465391.0,[]
DELICIAS,25,079-02-039,1993-07-01,['3'],U,T,Paseo,441200.0,4472583.0,[]
CASA DEL RELOJ,-1,074-028,2003-01-01,['12'],U,T,Avda,435595.0,4464492.0,[]
SAN NICASIO,-1,074-008,2003-01-01,['12'],U,T,Avda,434207.0,4465565.0,[]
MIGUEL HERNANDEZ,134,079-13-348,1993-07-01,['1'],U,T,Calle,445831.0,4471151.0,[]
EL CAPRICHO,211,079-21-582,2006-11-01,['5'],U,T,Calle,449742.0,4478467.0,[]
SAN FRANCISCO,116,079-11-307,2006-11-01,['11'],U,T,Avda,437365.0,4469694.0,[]
AVIACION ESPAÑOLA,107,079-10-240,2006-12-22,['10'],U,T,Paseo,433570.0,4470841.0,[]
PINAR DEL REY,164,079-16-449,2007-01-15,['8'],U,T,Avda,445119.0,4480112.0,[]
VILLA DE VALLECAS,181,079-18-500,1993-07-01,['1'],U,T,Paseo,447370.0,4470283.0,[]
LA ELIPA,151,079-15-426,2007-01-01,['2'],U,T,Avda,444928.0,4475520.0,[]
